Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Exon Chr Start (bp)	Exon Chr End (bp)	Exon Rank in Transcript	start phase	cDNA coding start	Ensembl Exon ID	Strand
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41219625	41219712	15	0	5078	ENSE00003492626	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41215891	41215968	16	1	5166	ENSE00003591784	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41215350	41215390	17	1	5244	ENSE00003672792	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41209069	41209152	18	0	5285	ENSE00003458468	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41203080	41203134	19	0	5369	ENSE00003477922	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41201138	41201211	20	1	5424	ENSE00003628864	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41199660	41199720	21	0	5498	ENSE00003687053	-1
ENSG00000012048	ENST00000493795	BRCA1	17	41196312	41277500	41197646	41197819	22	1	5559	ENSE00001937547	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41277288	41277500	1	-1		ENSE00001946433	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	233	ENSE00003559512	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41267743	41267796	3	2	313	ENSE00003510592	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41258473	41258550	4	2	367	ENSE00003541068	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41256885	41256973	5	2	445	ENSE00003531836	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41256139	41256278	6	1	534	ENSE00003513709	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41251792	41251897	7	0	674	ENSE00003642045	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41249261	41249306	8	1	780	ENSE00003587679	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41247863	41247939	9	2	826	ENSE00003463944	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41243452	41246877	10	1	903	ENSE00003522602	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41242961	41243049	11	1	4329	ENSE00003547126	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41234421	41234592	12	0	4418	ENSE00003527960	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41231351	41231416	13	1	4590	ENSE00001516237	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41228505	41228628	14	1	4656	ENSE00001516235	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41226348	41226538	15	2	4780	ENSE00003537850	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41222945	41223255	16	1	4971	ENSE00003497952	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41219625	41219712	17	0	5282	ENSE00003492626	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41215891	41215968	18	1	5370	ENSE00003591784	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41215350	41215390	19	1	5448	ENSE00003672792	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41209069	41209152	20	0	5489	ENSE00003458468	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41203080	41203134	21	0	5573	ENSE00003477922	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41201138	41201211	22	1	5628	ENSE00003628864	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41199660	41199720	23	0	5702	ENSE00003687053	-1
ENSG00000012048	ENST00000471181	BRCA1	17	41196312	41277500	41197646	41197819	24	1	5763	ENSE00001937547	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41277294	41277373	1	-1		ENSE00001867002	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	100	ENSE00003559512	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41267743	41267796	3	2	180	ENSE00003510592	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41258473	41258550	4	2	234	ENSE00003541068	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41256885	41256973	5	2	312	ENSE00003531836	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41256139	41256278	6	1	401	ENSE00003513709	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41251792	41251897	7	0	541	ENSE00003642045	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41249261	41249306	8	1	647	ENSE00003587679	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41247863	41247939	9	2	693	ENSE00003463944	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41246761	41246877	10	1	770	ENSE00001936588	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41242961	41243049	11	1	887	ENSE00003547126	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41234421	41234592	12	0	976	ENSE00003527960	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41228505	41228628	13	1	1148	ENSE00001516235	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41226348	41226538	14	2	1272	ENSE00003537850	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41222945	41223255	15	1	1463	ENSE00003497952	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41219625	41219712	16	0	1774	ENSE00003492626	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41215891	41215968	17	1	1862	ENSE00003591784	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41215350	41215390	18	1	1940	ENSE00003672792	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41209069	41209152	19	0	1981	ENSE00003458468	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41203080	41203134	20	0	2065	ENSE00003477922	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41201138	41201211	21	1	2120	ENSE00003628864	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41199660	41199720	22	0	2194	ENSE00003687053	-1
ENSG00000012048	ENST00000491747	BRCA1	17	41196312	41277500	41197695	41197819	23	1	2255	ENSE00003487914	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41277288	41277500	1	-1		ENSE00001946433	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	233	ENSE00003559512	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41267743	41267796	3	2	313	ENSE00003510592	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41258473	41258550	4	2	367	ENSE00003541068	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41256885	41256973	5	2	445	ENSE00003531836	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41256139	41256278	6	1	534	ENSE00003513709	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41251792	41251897	7	0	674	ENSE00003642045	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41249261	41249306	8	1	780	ENSE00003587679	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41247863	41247939	9	2	826	ENSE00003463944	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41243452	41246877	10	1	903	ENSE00003522602	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41242961	41243049	11	1	4329	ENSE00003547126	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41234421	41234592	12	0	4418	ENSE00003527960	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41215350	41215390	13	1	4590	ENSE00003672792	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41209069	41209152	14	0	4631	ENSE00003458468	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41203080	41203134	15	0	4715	ENSE00003477922	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41201138	41201211	16	1	4770	ENSE00003628864	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41199660	41199720	17	0	4844	ENSE00003687053	-1
ENSG00000012048	ENST00000354071	BRCA1	17	41196312	41277500	41196313	41197819	18	1	4905	ENSE00001312675	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41277288	41277500	1	-1		ENSE00001946433	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	233	ENSE00003559512	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41267743	41267796	3	2	313	ENSE00003510592	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41258473	41258550	4	2	367	ENSE00003541068	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41256885	41256973	5	2	445	ENSE00003531836	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41256139	41256278	6	1	534	ENSE00003513709	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41251792	41251897	7	0	674	ENSE00003642045	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41249261	41249306	8	1	780	ENSE00003587679	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41247863	41247939	9	2	826	ENSE00003463944	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41242961	41243049	10	1	903	ENSE00003547126	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41234421	41234592	11	0	992	ENSE00003527960	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41228505	41228631	12	1	1164	ENSE00003484886	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41226348	41226538	13	2	1291	ENSE00003537850	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41222945	41223255	14	1	1482	ENSE00003497952	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41219625	41219712	15	0	1793	ENSE00003492626	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41215891	41215968	16	1	1881	ENSE00003591784	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41215350	41215390	17	1	1959	ENSE00003672792	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41209069	41209152	18	0	2000	ENSE00003458468	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41203080	41203134	19	0	2084	ENSE00003477922	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41201138	41201211	20	1	2139	ENSE00003628864	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41199660	41199720	21	0	2213	ENSE00003687053	-1
ENSG00000012048	ENST00000352993	BRCA1	17	41196312	41277500	41196313	41197819	22	1	2274	ENSE00001312675	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41277294	41277468	1	-1		ENSE00001601762	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41276034	41276132	2	-1	195	ENSE00003559512	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41267743	41267796	3	2	275	ENSE00003510592	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41258473	41258550	4	2	329	ENSE00003541068	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41256885	41256973	5	2	407	ENSE00003531836	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41256139	41256278	6	1	496	ENSE00003513709	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41251792	41251897	7	0	636	ENSE00003642045	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41249261	41249306	8	1	742	ENSE00003587679	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41247863	41247939	9	2	788	ENSE00003463944	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41243452	41246877	10	1	865	ENSE00003522602	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41242961	41243049	11	1	4291	ENSE00003547126	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41234421	41234592	12	0	4380	ENSE00003527960	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41215891	41215968	13	1	4552	ENSE00003591784	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41215350	41215390	14	1	4630	ENSE00003672792	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41209069	41209152	15	0	4671	ENSE00003458468	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41203080	41203134	16	0	4755	ENSE00003477922	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41201138	41201211	17	1	4810	ENSE00003628864	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41199660	41199720	18	0	4884	ENSE00003687053	-1
ENSG00000012048	ENST00000346315	BRCA1	17	41196312	41277500	41196313	41197819	19	1	4945	ENSE00001312675	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41276034	41276132	1	-1	20	ENSE00003559512	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41267743	41267796	2	2	100	ENSE00003510592	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41258473	41258550	3	2	154	ENSE00003541068	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41256885	41256973	4	2	232	ENSE00003531836	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41256139	41256278	5	1	321	ENSE00003513709	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41251792	41251897	6	0	461	ENSE00003642045	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41242961	41243049	7	1	567	ENSE00003547126	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41234421	41234592	8	0	656	ENSE00003527960	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41228505	41228631	9	1	828	ENSE00003484886	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41226348	41226538	10	2	955	ENSE00003537850	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41222945	41223255	11	1	1146	ENSE00003497952	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41219625	41219712	12	0	1457	ENSE00003492626	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41215891	41215968	13	1	1545	ENSE00003591784	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41215350	41215390	14	1	1623	ENSE00003672792	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41209069	41209152	15	0	1664	ENSE00003458468	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41203080	41203134	16	0	1748	ENSE00003477922	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41201138	41201211	17	1	1803	ENSE00003628864	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41199660	41199720	18	0	1877	ENSE00003687053	-1
ENSG00000012048	ENST00000351666	BRCA1	17	41196312	41277500	41196313	41197819	19	1	1938	ENSE00001312675	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41277294	41277468	1	-1		ENSE00001601762	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41276034	41276132	2	-1		ENSE00003566275	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41258473	41258550	3	-1		ENSE00003529128	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41256885	41256973	4	-1		ENSE00003472279	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41256139	41256278	5	-1		ENSE00003618767	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41251792	41251897	6	-1		ENSE00003501023	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41249261	41249306	7	-1		ENSE00003673367	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41247863	41247939	8	-1		ENSE00003518965	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41243452	41246877	9	-1	1029	ENSE00003549219	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41242961	41243049	10	1	4237	ENSE00003547126	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41234421	41234592	11	0	4326	ENSE00003527960	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41228505	41228631	12	1	4498	ENSE00003484886	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41226348	41226538	13	2	4625	ENSE00003537850	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41222945	41223255	14	1	4816	ENSE00003497952	-1
ENSG00000012048	ENST00000309486	BRCA1	17	41196312	41277500	41219625	41219712	15	0	5127	ENSE00003492626	-1
